iter	Logloss
0	0.6915133859
1	0.6891460287
2	0.6872241617
3	0.6851057212
4	0.6834392308
5	0.6813885348
6	0.6800260042
7	0.6782879999
8	0.6768324009
9	0.675032921
10	0.6732779123
11	0.6720804732
12	0.670255034
13	0.6684246622
14	0.6663994625
15	0.6649044561
16	0.6639884445
17	0.6622953076
18	0.6610108096
19	0.6588032486
20	0.6573346306
21	0.6555444708
22	0.6542814544
23	0.6523019176
24	0.6507732838
25	0.6496743624
26	0.6484302564
27	0.6469852901
28	0.6447191653
29	0.6429563648
30	0.6417604666
31	0.6401080934
32	0.6382476599
33	0.6370953642
34	0.6356597822
35	0.6338161671
36	0.6324895541
37	0.6310298582
38	0.6299727329
39	0.6288221496
40	0.6276234328
41	0.6264440303
42	0.6250823117
43	0.6227612124
44	0.6212020014
45	0.6198800724
46	0.6186285243
47	0.6172985154
48	0.6160734685
49	0.6146618177
50	0.6133475538
51	0.6119277853
52	0.6106562222
53	0.6097156909
54	0.6088886239
55	0.6077553099
56	0.6060540413
57	0.6052897368
58	0.6038184516
59	0.6025613739
60	0.6012690704
61	0.6000231838
62	0.5987305795
63	0.5977050953
64	0.59640212
65	0.5948087923
66	0.5936581958
67	0.592753294
68	0.59146563
69	0.5903226135
70	0.5894984152
71	0.5881569595
72	0.5869307252
73	0.5855788919
74	0.5838746504
75	0.5826945911
76	0.5817155459
77	0.5804919437
78	0.5791723493
79	0.5784803478
80	0.5769140382
81	0.5759419665
82	0.574799908
83	0.573405488
84	0.5719314775
85	0.5702936341
86	0.5693923416
87	0.5681865522
88	0.566821309
89	0.5650946401
90	0.563888216
91	0.5630046535
92	0.5618882588
93	0.5602855321
94	0.5592126113
95	0.5585043384
96	0.5572639872
97	0.5557208158
98	0.5548760587
99	0.5538351929
100	0.5528593622
101	0.5515965214
102	0.5508658425
103	0.5494102069
104	0.5487355457
105	0.5479658674
106	0.5471707409
107	0.5462082179
108	0.5450055126
109	0.5442048912
110	0.5432561586
111	0.5421614423
112	0.5411798871
113	0.5397341572
114	0.5391293829
115	0.5374207825
116	0.5367613052
117	0.5359104562
118	0.5347562749
119	0.5336585032
120	0.5331842013
121	0.5325647056
122	0.5316348008
123	0.5304933349
124	0.5298739843
125	0.5284325315
126	0.5273911834
127	0.5267021086
128	0.525670725
129	0.5245575914
130	0.523528212
131	0.5226573322
132	0.5217879024
133	0.52015512
134	0.5195280436
135	0.518267595
136	0.5172168035
137	0.5162157847
138	0.5152937963
139	0.5141193481
140	0.5124819966
141	0.5118901961
142	0.5112094747
143	0.5099711947
144	0.5088747794
145	0.5079066162
146	0.5069482277
147	0.5063441971
148	0.5055830652
149	0.5046892928
150	0.5037805124
151	0.5027267488
152	0.5017380125
153	0.5007912364
154	0.4997466729
155	0.498966357
156	0.4983570185
157	0.4976543261
158	0.4969219256
159	0.4963265923
160	0.4953265805
161	0.4939250753
162	0.4932582704
163	0.4922717522
164	0.4916824486
165	0.4904559174
166	0.4894558773
167	0.488376472
168	0.4877250137
169	0.4866379422
170	0.4856666339
171	0.4851401842
172	0.4845426154
173	0.4836166881
174	0.4828780958
175	0.4820914877
176	0.4811395979
177	0.4799578213
178	0.4795070749
179	0.4785669827
180	0.477888609
181	0.47655684
182	0.4762179733
183	0.4757539865
184	0.4745738091
185	0.4738543813
186	0.4729513999
187	0.4721337736
188	0.4716926276
189	0.4711693445
190	0.470494942
191	0.4697128361
192	0.4687793242
193	0.46793427
194	0.4672181869
195	0.4661902127
196	0.4654879066
197	0.4648227086
198	0.4638896352
199	0.463241278
200	0.462625444
201	0.4616360731
202	0.4609541166
203	0.4604106451
204	0.4597665276
205	0.4585956401
206	0.4576444024
207	0.4571516537
208	0.4567540691
209	0.4558819192
210	0.4550963107
211	0.4544490404
212	0.4540173218
213	0.4535356031
214	0.4526869044
215	0.4519371919
216	0.4512792758
217	0.4504983454
218	0.4497638097
219	0.4491309872
220	0.448464319
221	0.4483017775
222	0.4478221448
223	0.4473854324
224	0.4468226583
225	0.4458242207
226	0.4449835066
227	0.4444733895
228	0.4436585979
229	0.4427988897
230	0.4421576287
231	0.4412221171
232	0.4400167423
233	0.4393406145
234	0.4387689786
235	0.4380995675
236	0.43752532
