iter	Passed	Remaining
421	2328	3189
422	2331	3180
423	2334	3171
424	2337	3163
425	2344	3159
426	2351	3155
427	2358	3152
428	2366	3149
429	2371	3143
430	2373	3133
431	2377	3125
432	2382	3119
433	2386	3112
434	2391	3106
435	2394	3098
436	2404	3097
437	2410	3093
438	2415	3086
439	2419	3078
440	2424	3073
441	2432	3071
442	2436	3063
443	2441	3057
444	2452	3058
445	2463	3060
446	2480	3069
447	2491	3070
448	2500	3068
449	2503	3060
450	2507	3052
451	2517	3051
452	2530	3055
453	2534	3047
454	2537	3039
455	2539	3030
456	2543	3021
457	2548	3016
458	2553	3010
459	2563	3009
460	2566	3001
461	2569	2992
462	2577	2989
463	2580	2980
464	2584	2973
465	2589	2967
466	2593	2960
467	2596	2952
468	2600	2943
469	2603	2935
470	2609	2930
471	2615	2925
472	2619	2918
473	2620	2907
474	2627	2904
475	2631	2897
476	2652	2908
477	2660	2905
478	2665	2899
479	2668	2891
480	2673	2884
481	2679	2879
482	2682	2871
483	2685	2863
484	2689	2856
485	2697	2852
486	2701	2845
487	2705	2838
488	2712	2834
489	2724	2835
490	2727	2827
491	2745	2835
492	2754	2832
493	2767	2834
494	2772	2828
495	2780	2825
496	2786	2820
497	2791	2813
498	2798	2809
499	2801	2801
500	2807	2795
501	2828	2805
502	2835	2801
503	2843	2798
504	2850	2794
505	2858	2790
506	2861	2782
507	2865	2775
508	2870	2768
509	2875	2763
510	2883	2758
511	2887	2752
512	2891	2744
513	2894	2736
514	2898	2729
515	2902	2722
516	2906	2715
517	2911	2709
518	2913	2699
519	2921	2696
520	2925	2689
521	2928	2681
522	2934	2675
523	2941	2672
524	2944	2664
525	2948	2657
526	2953	2650
527	2958	2644
528	2961	2636
529	2965	2629
530	2969	2622
531	2973	2615
532	2976	2607
533	2982	2602
534	2992	2601
535	2999	2596
536	3003	2589
537	3012	2586
538	3020	2583
539	3024	2576
540	3029	2570
541	3032	2562
542	3036	2555
543	3044	2551
544	3050	2547
545	3056	2541
546	3059	2534
547	3062	2526
548	3068	2520
549	3076	2517
550	3080	2510
551	3083	2502
552	3088	2496
553	3101	2496
554	3104	2489
555	3107	2481
556	3110	2473
557	3116	2468
558	3122	2463
559	3125	2455
560	3129	2448
561	3134	2442
562	3139	2436
563	3142	2429
564	3148	2423
565	3152	2417
566	3156	2410
567	3159	2403
568	3162	2395
569	3169	2390
570	3173	2384
571	3177	2377
572	3180	2370
573	3183	2362
574	3190	2358
575	3198	2354
576	3203	2348
577	3208	2342
578	3212	2335
579	3215	2328
580	3218	2320
581	3221	2314
582	3225	2307
583	3228	2299
584	3231	2292
585	3233	2284
586	3235	2276
587	3238	2268
588	3240	2261
589	3243	2253
590	3245	2246
591	3247	2238
592	3250	2230
593	3252	2223
594	3255	2215
595	3257	2208
596	3259	2200
597	3262	2193
598	3264	2185
599	3266	2177
600	3268	2169
601	3270	2162
602	3272	2154
603	3274	2146
604	3276	2139
605	3278	2131
606	3280	2123
607	3282	2116
608	3284	2108
609	3286	2101
610	3288	2093
611	3290	2086
612	3292	2078
613	3294	2071
614	3296	2063
615	3298	2056
616	3300	2048
617	3301	2040
618	3303	2033
619	3305	2025
620	3307	2018
621	3308	2010
622	3310	2003
623	3312	1995
624	3314	1988
625	3315	1980
626	3317	1973
627	3319	1966
628	3320	1958
629	3322	1951
630	3324	1944
631	3326	1936
632	3327	1929
633	3329	1922
634	3331	1914
635	3333	1907
636	3334	1900
637	3336	1893
638	3337	1885
639	3338	1877
640	3340	1870
641	3341	1863
642	3343	1856
643	3344	1849
644	3347	1842
645	3348	1835
646	3350	1827
647	3351	1820
648	3353	1813
649	3354	1806
650	3356	1799
651	3357	1792
652	3359	1785
653	3360	1778
654	3362	1770
655	3363	1763
656	3365	1756
657	3366	1749
658	3368	1743
659	3369	1736
660	3371	1729
661	3373	1722
662	3374	1715
663	3376	1708
664	3377	1701
665	3379	1694
666	3381	1688
667	3382	1681
668	3384	1674
669	3385	1667
670	3387	1660
671	3388	1654
672	3389	1646
673	3391	1640
674	3392	1633
675	3394	1627
676	3396	1620
677	3397	1613
678	3399	1607
679	3400	1600
680	3402	1593
681	3403	1587
682	3405	1580
683	3407	1574
684	3408	1567
685	3410	1561
686	3412	1554
687	3413	1548
688	3415	1541
689	3416	1535
690	3418	1528
691	3420	1522
692	3421	1515
693	3423	1509
694	3424	1502
695	3426	1496
696	3427	1490
697	3428	1483
698	3430	1477
699	3431	1470
700	3433	1464
701	3434	1457
702	3435	1451
703	3437	1445
704	3438	1438
705	3440	1432
706	3441	1426
707	3443	1420
708	3444	1413
709	3445	1407
710	3447	1401
