iter	Logloss
0	0.6888818051
1	0.6848391275
2	0.6812179248
3	0.6777642176
4	0.6735439124
5	0.6706522375
6	0.6671186951
7	0.6641060083
8	0.661352931
9	0.6579797271
10	0.6538662562
11	0.650228432
12	0.6467527517
13	0.6431840745
14	0.6393356271
15	0.6351395746
16	0.6325620009
17	0.629578753
18	0.6260413057
19	0.6225991665
20	0.6191374225
21	0.616247878
22	0.6127191794
23	0.6098930592
24	0.6068585864
25	0.6035429558
26	0.6004167533
27	0.5975777944
28	0.5945616718
29	0.5909364397
30	0.5884998576
31	0.5856298444
32	0.5832546504
33	0.5807531272
34	0.5766119714
35	0.5741476565
36	0.5709277003
37	0.5681944021
38	0.5656316812
39	0.5620880253
40	0.5591583105
41	0.555272619
42	0.5523314674
43	0.549970191
44	0.5455400824
45	0.5425692117
46	0.5392691604
47	0.5366989173
48	0.5344648842
49	0.5324515438
50	0.5306719665
51	0.5283612016
52	0.5257222222
53	0.5231108121
54	0.5202775804
55	0.5183471049
56	0.5159810736
57	0.5133999503
58	0.5107416024
59	0.507973743
60	0.5048887342
61	0.5020795019
62	0.5001627661
63	0.4980076041
64	0.495831409
65	0.493830491
66	0.4913647663
67	0.4884199145
68	0.4855216101
69	0.4844320551
70	0.4820922891
71	0.4804200878
72	0.4782800528
73	0.4760458165
74	0.4739275396
75	0.4722584667
76	0.4694045816
77	0.467289198
78	0.465855394
79	0.4634171852
80	0.4605643502
81	0.4587604592
82	0.4572455008
83	0.4550905009
84	0.4531992597
85	0.4510399494
86	0.4498718906
87	0.4477231729
88	0.4457766361
89	0.443775699
90	0.4418238455
91	0.4404150694
92	0.4381626295
93	0.4364789376
94	0.4343647991
95	0.4328708942
96	0.4312183146
97	0.4301603321
98	0.4285040985
99	0.4268747879
100	0.4250923222
101	0.423973363
102	0.4215174405
103	0.4200913104
104	0.4187329358
105	0.4179130999
106	0.4165647007
107	0.4154371364
108	0.4140219972
109	0.4122840001
110	0.4109170019
111	0.4088808248
112	0.407548303
113	0.4053110896
114	0.4030327531
115	0.4008145362
116	0.3997211103
117	0.3978411278
118	0.3962809073
119	0.3946270515
120	0.3935605935
121	0.3921296453
122	0.3909218359
123	0.3894128819
124	0.3884124743
125	0.3865928782
126	0.3854545475
127	0.3842999836
128	0.3824473471
129	0.3809724019
130	0.3795496446
131	0.3782964872
132	0.3761202509
133	0.3750834423
134	0.3735189936
135	0.3725212897
136	0.370504433
137	0.3697895583
138	0.3689792615
139	0.367649391
140	0.365880492
141	0.3646128054
142	0.3627805851
143	0.3610155181
144	0.3591885529
145	0.3581469029
146	0.3571282269
147	0.3558098435
148	0.3547498747
149	0.353421531
150	0.3524012307
151	0.3512398617
152	0.3494655172
153	0.3484274756
154	0.3471828114
155	0.3460275504
156	0.3445640093
157	0.3434456885
158	0.3419771886
159	0.3407507959
160	0.3387014505
161	0.3374359876
162	0.3356637302
163	0.3344802086
164	0.3329742829
165	0.3312492163
166	0.330537975
167	0.3298997938
168	0.3288211238
169	0.3276283406
170	0.3266205313
171	0.3255137445
172	0.3245431295
173	0.3235519809
174	0.3222220627
175	0.3213875118
176	0.320383358
177	0.3193239422
178	0.3184638725
179	0.3175614797
180	0.316141695
181	0.3143293594
182	0.3128340463
183	0.3120950631
184	0.3106956711
185	0.3096811577
186	0.3085659101
187	0.3076083478
188	0.3063414782
189	0.3052414656
190	0.3042004109
191	0.3027696917
192	0.3015077964
193	0.299926421
194	0.2985450662
195	0.2971819168
196	0.2963067458
197	0.2953637911
198	0.2945025157
199	0.2929302368
200	0.2921824368
201	0.2911960918
202	0.2899177178
203	0.2890302736
204	0.2880003857
205	0.2875067468
206	0.2867767157
207	0.2856836232
208	0.2852645583
209	0.2840098968
210	0.2835297677
211	0.2826702435
212	0.2819376553
213	0.2812062474
214	0.2800500508
215	0.2794662966
216	0.2782229606
217	0.2770017119
218	0.2756848816
219	0.2748971658
220	0.274182089
221	0.2731857578
222	0.2726244693
223	0.2716677947
224	0.2707489784
225	0.2697289739
226	0.2684512994
227	0.2672908396
228	0.266303854
229	0.265548341
230	0.2647030079
231	0.2634813758
232	0.2627690356
233	0.2618482354
234	0.2614648005
235	0.2606762438
236	0.2597688274
237	0.2588829844
238	0.2581578288
239	0.257035974
240	0.2562207224
241	0.2554072601
242	0.2544980871
243	0.2538974527
244	0.2534627823
245	0.2527895362
246	0.2517786325
247	0.2514516763
248	0.2505620783
249	0.2500835308
250	0.2492791484
251	0.2484335175
252	0.2475557066
253	0.2466177726
254	0.246038147
255	0.2446008761
256	0.2434311325
257	0.2428405304
258	0.2421468439
259	0.2415481189
260	0.2410639848
261	0.2405839864
262	0.2398344075
263	0.2393020217
264	0.238620508
265	0.2379215549
266	0.2375792611
267	0.2367495438
268	0.235595523
269	0.2351124901
270	0.2342272487
271	0.2331960751
272	0.2323605439
273	0.2314602348
274	0.2308053484
275	0.230061107
276	0.2294447326
277	0.2286773561
278	0.2280788451
279	0.2271415192
280	0.226689252
281	0.2260095413
282	0.2255390471
283	0.2249343089
284	0.2245438819
285	0.2242028189
286	0.2230332185
287	0.2224205691
288	0.2217738803
289	0.2213623378
290	0.2208596605
291	0.2206674986
292	0.2197221053
293	0.2193748018
294	0.2189986308
295	0.2184860008
296	0.2183247924
297	0.2175664354
298	0.216976579
299	0.2166316622
300	0.2158835088
301	0.2155339009
302	0.2149517172
303	0.2144567683
304	0.2137596331
305	0.2133079797
306	0.2127041062
307	0.212078751
308	0.2113692539
309	0.2110031877
310	0.2102966374
311	0.2096104275
312	0.2092384
313	0.2089004447
314	0.2084242264
315	0.2077644349
316	0.2072334892
317	0.2067945405
318	0.206411779
319	0.2058408639
320	0.2053706653
321	0.2050603664
322	0.204796662
323	0.2042387182
324	0.2039697462
325	0.2034772253
326	0.2029191511
327	0.2021537294
328	0.2019178705
329	0.2013084165
330	0.2004393106
331	0.19983603
